filter,filename,mean,std,median,resistant_mean,resistant_std,resistant_std_of_mean,sigma_clipped_mean,sigma_clipped_std,n_pixels,bg_fraction
NISP_H,galaxy_and_stream_convolved_10_1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.657940,4.415875,63.322853,63.616745,4.213462,0.021838,63.522327,4.024068,37278,0.931950
NISP_H,galaxy_and_stream_convolved_2_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.696342,4.125484,64.395294,64.673737,4.042415,0.021255,64.570702,3.849522,36202,0.905050
NISP_H,galaxy_and_stream_convolved_10_0.4_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.834862,4.446270,63.515228,63.793736,4.244438,0.022162,63.695572,4.047809,36731,0.918275
NISP_H,galaxy_and_stream_convolved_10_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.136307,4.519850,63.801487,64.096405,4.323243,0.022742,63.994949,4.121777,36187,0.904675
NISP_H,galaxy_and_stream_convolved_6_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.819641,5.362403,63.427437,63.796345,5.167983,0.027536,63.665627,4.915182,35262,0.881550
NISP_H,galaxy_and_stream_convolved_4_1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.181297,5.529757,63.724232,64.132416,5.215032,0.027724,63.989471,4.924535,35439,0.885975
NISP_H,galaxy_and_stream_convolved_10_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.684776,4.418802,63.354527,63.643452,4.215947,0.021890,63.544273,4.019978,37148,0.928700
NISP_H,galaxy_and_stream_convolved_5_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.979736,5.176116,64.609032,64.943764,4.994525,0.026539,64.837799,4.760646,35454,0.886350
NISP_H,galaxy_and_stream_convolved_4_0.15_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.784409,5.786994,64.305260,64.720573,5.332104,0.028858,64.580582,5.051584,34201,0.855025
NISP_H,galaxy_and_stream_convolved_2_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.907745,4.187550,64.598885,64.887215,4.110659,0.021746,64.782234,3.918852,35761,0.894025
